LoanID,AccountID,EntryDate,Amount,Duration,Payments,StatusID,DistrictID
7292,11317,1998-11-22,317460.0,60,5291.0,C,50
5724,3678,1995-02-05,316140.0,60,5269.0,D,1
5435,2279,1998-06-01,314688.0,48,6556.0,C,2
7227,10942,1995-10-02,314520.0,60,5242.0,C,44
7050,10065,1997-09-23,311232.0,48,6484.0,C,76
6695,8320,1997-06-04,309660.0,60,5161.0,C,51
6540,7562,1995-12-31,309600.0,48,6450.0,C,72
5145,915,1995-09-16,309552.0,48,6449.0,C,72
5758,3859,1997-05-02,307200.0,60,5120.0,D,53
7085,10202,1997-06-19,305424.0,48,6363.0,C,70
6087,5313,1994-02-27,300660.0,60,5011.0,C,40
7001,9859,1997-08-10,300600.0,60,5010.0,C,27
5918,4576,1994-06-04,300204.0,36,8339.0,A,27
5395,2176,1994-07-30,299088.0,36,8308.0,B,67
6350,6678,1997-07-09,294384.0,48,6133.0,C,54
5363,2051,1997-04-22,293880.0,60,4898.0,D,64
5469,2445,1997-12-26,293160.0,60,4886.0,C,52
5354,2000,1998-07-14,290820.0,60,4847.0,C,5
6175,5735,1996-02-21,290700.0,60,4845.0,D,52
6007,4949,1997-08-30,289920.0,48,6040.0,C,33
6435,7045,1997-06-16,288720.0,48,6015.0,C,51
6526,7523,1995-01-03,288468.0,36,8013.0,A,63
6736,8558,1994-06-14,288360.0,60,4806.0,C,1
6153,5632,1995-07-25,285600.0,60,4760.0,C,5
6877,9241,1997-06-19,285240.0,60,4754.0,C,74
5148,940,1996-05-29,284280.0,60,4738.0,C,37
7295,11328,1998-07-18,280440.0,60,4674.0,C,54
6962,9646,1998-04-02,279072.0,48,5814.0,C,1
5593,3037,1996-04-18,277884.0,36,7719.0,D,44
6232,6051,1994-07-08,276660.0,36,7685.0,B,56
6073,5263,1996-11-12,276300.0,60,4605.0,C,64
5644,3293,1998-11-27,276084.0,36,7669.0,C,1
7240,11013,1993-09-06,274740.0,60,4579.0,A,1
5568,2933,1994-05-17,272520.0,60,4542.0,C,10
6851,9138,1997-06-03,272220.0,60,4537.0,D,26
6859,9167,1998-03-07,272220.0,60,4537.0,C,56
5719,3664,1997-09-20,271584.0,48,5658.0,C,1
5365,2055,1998-07-19,271260.0,60,4521.0,C,37
6244,6118,1995-01-08,270648.0,36,7518.0,B,1
6296,6358,1996-08-06,270384.0,48,5633.0,C,3
7167,10644,1998-06-18,269964.0,36,7499.0,C,16
5556,2872,1997-05-19,268320.0,60,4472.0,C,1
7147,10478,1998-01-02,267600.0,48,5575.0,C,70
6712,8405,1995-10-14,266220.0,60,4437.0,C,20
6725,8489,1995-06-23,265320.0,36,7370.0,A,19
4988,103,1997-12-06,265320.0,36,7370.0,D,44
5082,501,1996-10-24,262980.0,60,4383.0,C,13
7122,10365,1997-01-04,260640.0,36,7240.0,D,22
6655,8085,1997-10-17,260400.0,60,4340.0,D,73
7176,10663,1995-10-28,260028.0,36,7223.0,A,11
7104,10320,1993-12-13,259740.0,60,4329.0,A,68
6012,4994,1996-08-03,258444.0,36,7179.0,C,1
5614,3137,1998-09-21,253560.0,60,4226.0,C,39
5606,3084,1996-08-28,253512.0,36,7042.0,D,59
5169,1068,1998-09-24,253200.0,60,4220.0,C,52
5170,1071,1994-01-20,253200.0,60,4220.0,C,68
5060,426,1994-07-19,252060.0,60,4201.0,D,1
7164,10613,1998-08-15,249792.0,48,5204.0,C,55
5350,1967,1996-04-21,249312.0,48,5194.0,C,26
5310,1762,1995-04-28,248148.0,36,6893.0,A,28
6254,6157,1997-12-28,247920.0,48,5165.0,C,34
6255,6158,1997-02-08,247920.0,48,5165.0,D,67
6698,8327,1996-03-10,247728.0,48,5161.0,C,1
5837,4260,1994-06-29,244560.0,60,4076.0,C,56
6955,9627,1995-11-22,244368.0,48,5091.0,C,65
6748,8645,1998-12-08,240900.0,60,4015.0,C,60
6083,5305,1998-03-31,240528.0,48,5011.0,C,47
